ED_ID_CSV,COUNTY,PROVINCE,GEOGDESC,T1_1AGETT_2006,T2_1PLBP_2006,T2_1PLN_2006,T2_1IEN_2006,T2_1LTN_2006,T2_1LTBP_2006,PLN_PRE_2006,T1_1AGETT_2011,T1_2T_2011,T2_1PLBP_2011,T2_1IEN_2011,T2_1PLN_2011,PLN_PRE_2011,T1_1AGETT_2016,T1_2T_2016,T2_1PLBP_2016,T2_1IEN_2016,T2_1PLN_2016,T2_5PL_2016,PLN_PRE_2016
48065,CORK,Munster,Tivoli B,2602,24,23,2460,4,4,0.88,2587,2587,28,2345,31,1.20,2756,2756,46,2474,46,60,1.67
67113,GALWAY,Connacht,Kilbeacanty,283,0,0,242,0,0,0.00,318,318,0,274,0,0.00,326,326,0,273,0,0,0.00
67008,GALWAY,Connacht,Annagh,343,0,0,332,0,0,0.00,375,375,0,358,0,0.00,369,369,0,354,0,0,0.00
87072,KILDARE,Leinster,Narraghmore,710,4,4,670,0,0,0.56,784,784,2,740,2,0.26,823,823,6,775,5,6,0.61
37045,CLARE,Munster,Crusheen,719,5,5,646,0,0,0.70,865,865,4,785,5,0.58,952,952,3,893,3,5,0.32
267105,DUBLIN,Leinster,Malahide East,5976,37,38,5200,2,2,0.64,6879,6879,87,5722,86,1.25,7429,7429,70,6380,71,81,0.96
217084,TIPPERARY,Munster,Graigue,275,4,4,248,0,0,1.45,299,299,0,265,0,0.00,279,279,0,249,0,0,0.00
227040,WATERFORD,Munster,Gardenmorris,398,2,2,377,1,1,0.50,416,416,0,398,0,0.00,426,426,0,393,0,0,0.00
157016,MAYO,Connacht,Ballina Urban,4222,77,79,3814,2,6,1.87,4021,4021,216,3443,221,5.50,4144,4144,223,3516,238,253,5.74
268154,DUBLIN,Leinster,Walkinstown A,1963,28,28,1823,10,10,1.43,2619,2619,161,1917,166,6.34,2765,2765,149,2156,153,165,5.53
47134,CORK,Munster,Drinagh,206,0,0,187,0,0,0.00,225,225,3,201,3,1.33,239,239,0,220,0,0,0.00
67134,GALWAY,Connacht,Killimor,312,0,0,301,0,0,0.00,331,331,0,316,0,0.00,329,329,2,318,2,2,0.61
267115,DUBLIN,Leinster,Rathfarnham-Hermitage,4564,45,45,4189,9,9,0.99,4604,4604,80,4099,84,1.82,4602,4602,63,4209,63,73,1.37
67031,GALWAY,Connacht,Ballynapark,852,0,0,812,0,0,0.00,990,990,4,946,3,0.30,1080,1080,1,1033,0,0,0.00
267063,DUBLIN,Leinster,Dalkey-Bullock,1661,3,3,1528,0,0,0.18,1701,1701,7,1525,6,0.35,1756,1756,9,1567,7,13,0.40
47213,CORK,Munster,Kilnamanagh,357,0,0,302,0,0,0.00,382,382,1,314,1,0.26,342,342,0,283,0,0,0.00
247104,WEXFORD,Leinster,St. Helen's,1816,21,21,1653,3,2,1.16,2093,2093,22,1803,25,1.19,2240,2240,19,1924,23,30,1.03
57103,DONEGAL,Ulster,Cnoc Colbha,230,0,0,212,0,0,0.00,291,291,0,250,0,0.00,282,282,0,243,0,0,0.00
37102,CLARE,Munster,Kiltannon,179,0,0,148,1,1,0.00,198,198,0,174,0,0.00,196,196,0,175,0,0,0.00
128005,LIMERICK,Munster,Ballinacurra A,1922,70,71,1735,6,6,3.69,2137,2137,158,1809,165,7.72,1962,1962,105,1645,110,131,5.61
87056,KILDARE,Leinster,Kilmeage South,1659,21,21,1555,3,3,1.27,2003,2003,18,1849,20,1.00,2114,2114,27,1951,31,38,1.47
268085,DUBLIN,Leinster,Kilmainham C,4203,168,168,3409,35,37,4.00,4358,4358,240,3274,261,5.99,5186,5186,175,3798,184,198,3.55
257074,WICKLOW,Leinster,Togher,896,5,6,819,0,0,0.67,1204,1204,5,1088,5,0.42,1378,1378,17,1268,18,18,1.31
67154,GALWAY,Connacht,Kinvarra,1110,8,8,1001,0,0,0.72,1351,1351,4,1207,5,0.37,1537,1537,4,1352,3,7,0.20
228034,WATERFORD,Munster,Slievekeale,648,0,0,618,0,0,0.00,592,592,1,560,1,0.17,593,593,0,554,0,0,0.00
237029,WESTMEATH,Leinster,Clonfad,611,0,0,594,0,0,0.00,632,632,5,596,5,0.79,638,638,1,610,2,1,0.31
27074,CAVAN,Ulster,Munterconnaught,965,0,0,819,0,0,0.00,1116,1116,0,1038,0,0.00,1129,1129,1,1067,1,3,0.09
